Gene	Year	Citekey	Entity	Tier
SIN3A	2019	grandeGenomewideDiscoverySomatic2019	BL	1
ZNF117	2014	zhangGenomicLandscapeMantle2014	MCL	2
GPC5	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	2
EZR	NA	Unknown	DLBCL	2
RHEX	NA	Unknown	DLBCL	2
TBC1D4	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
TRRAP	NA	Unknown	DLBCL	1
HIST1H2BD	NA	Unknown	FL	1
SHROOM3	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
JUP	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
IGLL5	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
WEE1	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
MPDZ	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
PIK3CD	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
KMT2C	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
KCNK10	2019	paneaWholeGenomeLandscape2019	BL	2
PRKCD	NA	Unknown	BL	2
HIST1H2BK	2019	paneaWholeGenomeLandscape2019	BL	2
CD44	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
WNK2	2019	paneaWholeGenomeLandscape2019	BL	2
FTCD	2012	loveGeneticLandscapeMutations2012	BL	2
CPNE8	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
MYD88	2011	ngoOncogenicallyActiveMYD882011a	DLBCL	1
GNAI2	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
P2RY2	2012	loveGeneticLandscapeMutations2012	BL	2
PTPRK	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
CBLB	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
ID3	2012	schmitzBurkittLymphomaPathogenesis2012	DLBCL	2
DNMT3A	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
ATP2C2	2012	loveGeneticLandscapeMutations2012	BL	2
MGA	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
DDX3X	2012	schmitzBurkittLymphomaPathogenesis2012	BL	1
PZP	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
SGK1	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
ANKRD17	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
CNOT2	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
USP7	2019	grandeGenomewideDiscoverySomatic2019	BL	1
HNRNPH1	2020	pararajalingamCodingNoncodingDrivers2020	DLBCL	1
TMEM30A	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
RPL22	NA	Unknown	BL	2
EXOSC6	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
RANBP6	2012	loveGeneticLandscapeMutations2012	BL	2
KMT2D	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
DTX1	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
NOTCH1	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	1
FCRL3	NA	Unknown	DLBCL	2
COL16A1	2014	zhangGenomicLandscapeMantle2014	MCL	2
SMC1A	2014	zhangGenomicLandscapeMantle2014	MCL	2
DNM2	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
ZAN	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
SETD1B	2017	reddyGeneticFunctionalDrivers2017	DLBCL	1
DUSP2	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
BTG2	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
PTPN23	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
MYC	NA	Unknown	DLBCL	1
PXDNL	2019	paneaWholeGenomeLandscape2019	BL	2
NOTCH2	2008	troenNOTCH2MutationsMarginal2008	DLBCL	1
FBXW7	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
HNF1B	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	2
ATR	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
CTCF	2019	paneaWholeGenomeLandscape2019	BL	2
ZNF292	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
NFKBIA	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
FOXC1	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
SAMD9L	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
DLC1	2014	zhangGenomicLandscapeMantle2014	MCL	2
NBEAL1	2012	loveGeneticLandscapeMutations2012	BL	2
HIST1H3J	2019	paneaWholeGenomeLandscape2019	BL	2
FNBP1	NA	Unknown	DLBCL	2
HIST1H2AC	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
E2F2	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
MYH10	2012	loveGeneticLandscapeMutations2012	BL	2
CIITA	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
BTK	2017	albuquerqueEnhancingKnowledgeDiscovery2017a	DLBCL	1
MCL1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	1
FOXP1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
YY1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
GGTLA4	2012	loveGeneticLandscapeMutations2012	BL	2
TCF3	2012	schmitzBurkittLymphomaPathogenesis2012	BL	1
MET	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
TRAF3	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	2
SLC29A2	2012	loveGeneticLandscapeMutations2012	BL	2
TRAF6	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
SRRM2	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
ZBTB7A	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
CYP2A6	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
SYNE1	2020	nadeuGenomicEpigenomicInsights2020a	MCL	1
RHOA	2001	pasqualucciHypermutationMultipleProtooncogenes2001a	DLBCL	1
MME	2019	paneaWholeGenomeLandscape2019	BL	2
TERT	2020	nadeuGenomicEpigenomicInsights2020a	MCL	1
PTEN	2012	loveGeneticLandscapeMutations2012	BL	1
HIST1H2BG	NA	Unknown	FL	1
BTBD3	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
NEAT1	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
RNF144B	2019	paneaWholeGenomeLandscape2019	BL	2
SESN1	NA	Unknown	FL	2
MAP2K1	NA	Unknown	DLBCL	2
HRAS	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
PKD1	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
KIR3DL1	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
EPHB2	2012	loveGeneticLandscapeMutations2012	BL	2
TGFBR2	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
TAP1	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	2
KLHL6	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
HIST1H4J	2019	paneaWholeGenomeLandscape2019	BL	2
SOCS1	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
DDX10	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
POU2AF1	NA	Unknown	DLBCL	1
PASK	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
SARM1	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
NLRP5	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
RPL10	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
NLRC5	NA	Unknown	DLBCL	1
ZNF296	2014	zhangGenomicLandscapeMantle2014	MCL	2
ARID5B	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
PTPN6	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
BIRC3	2013	beaLandscapeSomaticMutations2013	MCL	1
HIST1H3B	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
XPO1	2016	mareschalWholeExomeSequencing2016	DLBCL	1
ACE	2012	loveGeneticLandscapeMutations2012	BL	2
RUBCNL	NA	Unknown	DLBCL	2
BIRC6	2017	reddyGeneticFunctionalDrivers2017	DLBCL	1
KLHL26	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
TCL1A	2019	grandeGenomewideDiscoverySomatic2019	BL	1
CTNNA2	2014	zhangGenomicLandscapeMantle2014	MCL	2
CHD4	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
REV3L	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
ADAMTS5	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
ATP6AP1	NA	Unknown	FL	1
NLRP8	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
TAF1	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
PRSS22	2012	loveGeneticLandscapeMutations2012	BL	2
SEPTIN9	NA	Unknown	DLBCL	2
IL16	NA	Unknown	DLBCL	1
PIM2	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	1
MEF2B	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
SLC34A2	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
SYK	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
ACTB	2012	lohrDiscoveryPrioritizationSomatic2012a	DLBCL	1
BCL2L11	NA	Unknown	BL	2
CTSS	NA	Unknown	FL	1
STAB2	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
ROBO2	2014	zhangGenomicLandscapeMantle2014	MCL	2
SIAH2	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
FZR1	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
SNTB2	2019	paneaWholeGenomeLandscape2019	BL	2
MAP4K4	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
VMA21	2021	hubschmannMutationalMechanismsShaping2021b	FL	1
IRF4	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
UNC5D	NA	Unknown	DLBCL	1
POLRMT	2012	loveGeneticLandscapeMutations2012	BL	2
CDKN2A	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
ZCCHC7	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
BACH2	2019	grandeGenomewideDiscoverySomatic2019	BL	2
CARD11	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
MKI67	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
LTB	NA	Unknown	DLBCL	1
CREBBP	2011	pasqualucciInactivatingMutationsAcetyltransferase2011a	DLBCL	1
HLA-B	NA	Unknown	DLBCL	1
SEPT10	NA	Unknown	BL	2
CD74	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
DHDH	2014	zhangGenomicLandscapeMantle2014	MCL	2
MTOR	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
ITPKB	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
CCT6B	2012	loveGeneticLandscapeMutations2012	BL	2
KIFC3	2012	loveGeneticLandscapeMutations2012	BL	2
RARA	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
PDZRN3	2019	paneaWholeGenomeLandscape2019	BL	2
SMARCA4	2012	loveGeneticLandscapeMutations2012	BL	1
HIST1H1E	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
OGDHL	2014	zhangGenomicLandscapeMantle2014	MCL	2
HIST1H1C	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
FANK1	NA	Unknown	DLBCL	2
NOL9	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
NFKBIE	2016	morinGeneticLandscapesRelapsed2016	DLBCL	1
PTPN1	NA	Unknown	DLBCL	2
PDCD11	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
UNC5C	NA	Unknown	DLBCL	1
POR	2012	loveGeneticLandscapeMutations2012	BL	2
ARID1A	2012	loveGeneticLandscapeMutations2012	BL	1
FAM102A	NA	Unknown	DLBCL	2
RFX7	2019	grandeGenomewideDiscoverySomatic2019	BL	1
VPS13B	NA	Unknown	DLBCL	1
SEL1L3	NA	Unknown	DLBCL	2
FZD3	2019	paneaWholeGenomeLandscape2019	BL	2
WDFY3	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
NFKBIZ	2016	morinGeneticLandscapesRelapsed2016	DLBCL	1
PREX1	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
RAC2	2019	paneaWholeGenomeLandscape2019	BL	2
DCAF6	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
JAK3	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
GNA13	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
PNPO	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
BMP7	2019	paneaWholeGenomeLandscape2019	BL	1
HNRNPU	2019	paneaWholeGenomeLandscape2019	BL	1
PDE4DIP	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
CHST2	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
ETV6	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	1
CXCR5	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
CD36	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	1
NIN	2014	zhangGenomicLandscapeMantle2014	MCL	2
WAC	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
IER2	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
P2RY8	2012	lohrDiscoveryPrioritizationSomatic2012a	DLBCL	1
CCND3	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
CAD	2012	loveGeneticLandscapeMutations2012	BL	2
RHOH	NA	Unknown	DLBCL	2
SETD2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
MECOM	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
SBF1	2012	loveGeneticLandscapeMutations2012	BL	2
LCOR	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	1
SI	2014	zhangGenomicLandscapeMantle2014	MCL	2
IRAG2	NA	Unknown	DLBCL	2
NANOG	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
TPP1	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
FAM129B	2012	loveGeneticLandscapeMutations2012	BL	2
CD70	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
S1PR2	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
RBP3	2012	loveGeneticLandscapeMutations2012	BL	2
BRD4	2012	loveGeneticLandscapeMutations2012	BL	2
BRAF	2011	tiacciBRAFMutationsHairycell2011a	DLBCL	1
PIK3R1	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
CNTNAP5	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
MSH6	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
POU2F2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
TFAP4	2019	grandeGenomewideDiscoverySomatic2019	BL	1
ADNP	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
FUT5	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
DSG4	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
CD83	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
MPEG1	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
GRB2	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	1
KRAS	2012	lohrDiscoveryPrioritizationSomatic2012a	DLBCL	1
EIF4A1	2019	paneaWholeGenomeLandscape2019	BL	1
ATP6V1A	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
FOXO1	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
N2RF2	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
EDNRB	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
SYNCRIP	2019	paneaWholeGenomeLandscape2019	BL	2
GAK	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
EIF2C4	2012	loveGeneticLandscapeMutations2012	BL	2
ARID1B	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
FGFR3	2012	loveGeneticLandscapeMutations2012	BL	2
DICER1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
ANKRD12	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
HLA-DMA	NA	Unknown	DLBCL	1
SAL3	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
CCDC42BPB	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
IKBKB	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
HIST1H3G	NA	Unknown	FL	1
LIN54	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
HIST2H2BE	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	1
MAP3K6	2012	loveGeneticLandscapeMutations2012	BL	2
WDR7	2019	paneaWholeGenomeLandscape2019	BL	2
GABRA2	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
GSG2	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	2
COL4A2	2012	loveGeneticLandscapeMutations2012	BL	2
ICK	2012	loveGeneticLandscapeMutations2012	BL	2
SP3	2019	paneaWholeGenomeLandscape2019	BL	2
ARHGEF1	2018	chapuyMolecularSubtypesDiffuse2018b	BL	2
GRM6	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
NFKB1	NA	Unknown	DLBCL	1
PIM1	2001	pasqualucciHypermutationMultipleProtooncogenes2001a	DLBCL	1
OR8H2	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
PAPOLG	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	2
PRKCB	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
EP300	2011	pasqualucciInactivatingMutationsAcetyltransferase2011a	DLBCL	1
ZC3H12A	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	1
RB1	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
PCDHB11	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
CCL4	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
SHANK1	2012	loveGeneticLandscapeMutations2012	BL	2
CCND1	2013	beaLandscapeSomaticMutations2013	MCL	1
NCOA3	NA	Unknown	DLBCL	2
IL4R	2021	dunsCharacterizationDLBCLPMBL2021b	DLBCL	1
FAT4	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
NAV1	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
ENTPD3	2012	loveGeneticLandscapeMutations2012	BL	2
HLA-DMB	NA	Unknown	DLBCL	1
ABL2	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
IKBKE	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
ANK2	2014	zhangGenomicLandscapeMantle2014	MCL	2
EEF1A1	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	1
BCR	NA	Unknown	DLBCL	1
HIST1H2BM	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
ZEB2	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
P2RX5	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
PRDM1	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
HIST1H3D	2019	paneaWholeGenomeLandscape2019	BL	2
ACAD9	2012	loveGeneticLandscapeMutations2012	BL	2
RRAGC	2016	okosunRecurrentMTORC1activatingRRAGC2016a	DLBCL	1
TNFRSF14	2010	cheungAcquiredTNFRSF14Mutations2010a	DLBCL	1
PTMA	NA	Unknown	DLBCL	2
NF1	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
NCOR2	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
DNAH5	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
BCL6	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
FLYWCH1	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
RFXAP	NA	Unknown	DLBCL	1
GRIK5	2012	loveGeneticLandscapeMutations2012	BL	2
MYOM2	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	1
ZFX	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
CD79A	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
BRINP3	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
FNDC1	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
NRXN2	2012	loveGeneticLandscapeMutations2012	BL	2
TOX	2017	reddyGeneticFunctionalDrivers2017	DLBCL	1
INO80	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
LAPTM5	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
GRIN2A	2014	zhangGenomicLandscapeMantle2014	MCL	2
TP53	2011	morinFrequentMutationHistonemodifying2011	FL	1
AICDA	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
UBR5	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	2
SYPL1	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
TLR2	2013	beaLandscapeSomaticMutations2013	MCL	1
RET	2012	loveGeneticLandscapeMutations2012	BL	2
ST6GAL1	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	2
PABPC4L	2019	paneaWholeGenomeLandscape2019	BL	2
HIST1H3I	2019	paneaWholeGenomeLandscape2019	BL	2
MYBPC2	2018	schmitzGeneticsPathogenesisDiffuse2018a	DLBCL	2
LRP12	2021	hubschmannMutationalMechanismsShaping2021b	DLBCL	2
ZNF423	2018	chapuyMolecularSubtypesDiffuse2018b	DLBCL	2
TBL1XR1	2016	mareschalWholeExomeSequencing2016	DLBCL	1
B2M	2011	morinFrequentMutationHistonemodifying2011	DLBCL	1
BCL7A	2018	arthurGenomewideDiscoverySomatic2018	DLBCL	1
SF3B1	2012	loveGeneticLandscapeMutations2012	BL	2
TRIP12	NA	Unknown	DLBCL	1
TMSB4X	2017	albuquerqueEnhancingKnowledgeDiscovery2017a	DLBCL	1
PCBP1	NA	Unknown	DLBCL	1
PLXNB3	2014	zhangGenomicLandscapeMantle2014	MCL	2
MAGEC1	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
GOLGA5	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
EIF2AK4	2014	zhangGenomicLandscapeMantle2014	MCL	2
WDR90	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
MIR155HG	NA	Unknown	DLBCL	2
SP140	2020	pararajalingamCodingNoncodingDrivers2020	MCL	1
IKZF3	2013	morinMutationalStructuralAnalysis2013	DLBCL	1
MYCBP2	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
PTPRD	NA	Unknown	DLBCL	1
EPPK1	2019	paneaWholeGenomeLandscape2019	BL	1
KLF2	2011	pasqualucciAnalysisCodingGenome2011	DLBCL	1
FAM38B	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
HEPH	2014	zhangGenomicLandscapeMantle2014	MCL	2
SMARCB1	2020	nadeuGenomicEpigenomicInsights2020a	MCL	2
ZNF85	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
ESX1	2014	zhangGenomicLandscapeMantle2014	MCL	2
JUNB	2017	reddyGeneticFunctionalDrivers2017	DLBCL	1
EIF2AK3	NA	Unknown	DLBCL	2
XBP1	NA	Unknown	DLBCL	2
TOP2A	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
CDH9	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
S1PR1	2020	pararajalingamCodingNoncodingDrivers2020	MCL	1
MGEA5	2021	hubschmannMutationalMechanismsShaping2021b	FL	2
MYB	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
AGO4	2012	schmitzBurkittLymphomaPathogenesis2012	BL	2
IFNGR1	2013	morinMutationalStructuralAnalysis2013	DLBCL	2
HLA-A	NA	Unknown	DLBCL	1
KLHL14	2013	zhangGeneticHeterogeneityDiffuse2013	DLBCL	1
MSH2	2017	reddyGeneticFunctionalDrivers2017	DLBCL	2
HVCN1	NA	Unknown	DLBCL	1
TIGD6	2012	loveGeneticLandscapeMutations2012	BL	2
FIP1L1	NA	Unknown	BL	2
UBE2J1	NA	Unknown	DLBCL	2
XIRP2	2023	russler-germainMutationsAssociatedProgression2023a	FL	2
TBC1D9B	2012	loveGeneticLandscapeMutations2012	BL	2
