Gene	citekey	Tier	QC	Novel
ETS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ZNF292	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
BRINP3	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
MCL1	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
EP300	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
KMT2C	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MYC	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
TBL1XR1	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
DCAF6	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
DDX10	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
PAX5	pasqualucciHypermutationMultipleProtooncogenes2001a	2	NA	FALSE
KLHL14	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
GNAS	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
RB1	morinMutationalStructuralAnalysis2013	1	NA	FALSE
INO80	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
CDH8	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
BTG1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
DNMT3A	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
FOXO1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
PTPN6	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
BCL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL7A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ZEB2	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
JAK3	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
MECOM	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
EBF1	bohleRoleEarlyBcell2013	1	NA	FALSE
ANKRD17	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
ETV6	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
ZFAT	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
NCOR1	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
IKZF3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MSH2	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
ATR	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
CHD1	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
NFKBIE	morinGeneticLandscapesRelapsed2016	1	NA	FALSE
PRDM1	pasqualucciInactivationPRDM1BLIMP12006a	1	NA	FALSE
CD83	morinMutationalStructuralAnalysis2013	1	NA	FALSE
STAT3	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
TAF1	morinMutationalStructuralAnalysis2013	1	NA	FALSE
ZBTB7A	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
CCND3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MAP4K4	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
NF1	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
UBE2A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
DDX3X	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
IL16	reddyGeneticFunctionalDrivers2017	2	NA	TRUE
SETD5	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
JUNB	reddyGeneticFunctionalDrivers2017	1	PASS	TRUE
JAK1	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
PTPRK	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
CHST2	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
GOLGA5	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
NFKBIA	lakeMutationsNFKBIAEncoding2009	1	NA	FALSE
RHOA	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
ACTB	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
CDC73	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
PIM2	arthurGenomewideDiscoverySomatic2018	1	NA	FALSE
BCL10	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BTK	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CBLB	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
MARK1	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
HNRNPU	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
SF3B1	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
UBR5	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
MYB	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
TIPARP	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
NFKB2	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
MET	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
RRAGC	okosunRecurrentMTORC1activatingRRAGC2016a	1	NA	FALSE
IKBKB	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
TOX	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
FAS	schollMutationsRegionFAS2007	1	NA	FALSE
DICER1	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
TMSB4X	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
GNAI2	morinMutationalStructuralAnalysis2013	1	NA	FALSE
MAGT1	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
PHF6	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
POU2F2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
XPO1	mareschalWholeExomeSequencing2016	1	NA	FALSE
WAC	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
YY1	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
CD22	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
HRAS	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
BRAF	tiacciBRAFMutationsHairycell2011a	1	NA	FALSE
FOXP1	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
HIST1H2BC	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
RARA	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
S1PR2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
FUBP1	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
STAT5B	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
KRAS	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
RUNX1	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
TCL1A	reddyGeneticFunctionalDrivers2017	2	NA	TRUE
CXCR4	khodabakhshiRecurrentTargetsAberrant2012	1	NA	FALSE
PTEN	reddyGeneticFunctionalDrivers2017	1	NA	TRUE
FBXW7	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
MAP2K1	shinBRAFV600EMAP2K12015	2	NA	FALSE
ZFX	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
BTBD3	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
CIITA	morinFrequentMutationHistonemodifying2011	2	NA	FALSE
HNRNPD	reddyGeneticFunctionalDrivers2017	2	NA	TRUE
LIN54	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
MSH6	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
PIK3R1	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
KCMF1	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
SYK	reddyGeneticFunctionalDrivers2017	3	FAIL	TRUE
TGFBR2	reddyGeneticFunctionalDrivers2017	2	PASS	TRUE
CASP8	reddyGeneticFunctionalDrivers2017	2	NA	TRUE
