Gene	citekey	Tier	QC	Novel
POU2F2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
PTPN1	NA	2	NA	NA
RB1	morinMutationalStructuralAnalysis2013	1	NA	FALSE
RBM38	NA	NA	NA	NA
RFX7	NA	1	NA	NA
RHOA	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
S1PR2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SIN3A	chapuyMolecularSubtypesDiffuse2018b	1	NA	FALSE
SMARCA4	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SPEN	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
ST8SIA1	NA	NA	NA	NA
STAT6	yildizActivatingSTAT6Mutations2015c	1	NA	FALSE
TBL1XR1	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
TBC1D4	arthurGenomewideDiscoverySomatic2018	2	NA	TRUE
TCF3	NA	NA	NA	NA
TFAP4	NA	NA	NA	NA
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TMSB4X	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TP53	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
UBR4	NA	NA	NA	NA
USP7	NA	1	NA	NA
ZC3H12A	chapuyMolecularSubtypesDiffuse2018b	1	NA	FALSE
ZFP36L1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ZCCHC7	arthurGenomewideDiscoverySomatic2018	2	NA	TRUE
