Gene	citekey	Tier	QC	Novel
POLQ	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
SOCS1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TLN1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
TP53	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ACTG1	fanComprehensiveCharacterizationDriver2020b	1	NA	TRUE
DDX3X	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
FLNA	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
FN1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
HLA-B	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
HLA-DRB1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
IL6ST	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
KLF2	pasqualucciAnalysisCodingGenome2011	1	NA	FALSE
NFKBIE	morinGeneticLandscapesRelapsed2016	1	NA	FALSE
PABPC1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PGR	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PLCG2	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PRDM1	pasqualucciInactivationPRDM1BLIMP12006a	1	NA	FALSE
RECQL4	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
RET	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
TNF	lohrDiscoveryPrioritizationSomatic2012a	2	NA	FALSE
TPR	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
TYRO3	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
UBE2A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
UBXN11	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
UNC13B	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
ACTB	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
APMAP	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
BRCA1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CBX3	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CSNK2A1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CXCR4	khodabakhshiRecurrentTargetsAberrant2012	1	NA	FALSE
DHX33	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
FAM161A	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
GATA3	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
IKBKB	reddyGeneticFunctionalDrivers2017	2	PASS	FALSE
ITGB4	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
ITPR1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
MAP2K1	shinBRAFV600EMAP2K12015	2	NA	FALSE
MCM8	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
MLH1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
NFKB2	reddyGeneticFunctionalDrivers2017	3	FAIL	FALSE
PTCH1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PTPN6	reddyGeneticFunctionalDrivers2017	1	PASS	FALSE
RAF1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
RAPGEF3	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
RIF1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
SCYL1	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
SLC16A8	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
SMARCA4	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
SMO	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
STAT6	yildizActivatingSTAT6Mutations2015c	1	NA	FALSE
TLR4	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
UBXN2B	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
VANGL1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
ZMYM4	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
ABCB1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
ATP6V0A1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
ATR	reddyGeneticFunctionalDrivers2017	2	PASS	FALSE
CCND3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CD44	arthurGenomewideDiscoverySomatic2018	2	NA	FALSE
CDH1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CDKN1A	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CGN	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CHEK2	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CSNK1A1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CYYR1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
DGCR8	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
DLGAP1	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
ECT2L	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
FAIM	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
FLT1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
FZD1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
GATA2	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
GNAI2	morinMutationalStructuralAnalysis2013	1	NA	FALSE
HFE	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
JAK3	reddyGeneticFunctionalDrivers2017	2	NA	FALSE
KITLG	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
KLRC4	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
LEPR	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
LYN	chapuyMolecularSubtypesDiffuse2018b	2	PASS	FALSE
MAP2K3	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
MMEL1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
MSN	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
NGFR	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
NOTCH3	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
NUP153	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PDGFRB	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PFN1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PLCB4	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
POLD3	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PPP2R2B	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
PTEN	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
RHOA	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
RIMS4	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
RPTOR	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
SOS2	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
TECRL	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
TLR2	chapuyMolecularSubtypesDiffuse2018b	2	PASS	FALSE
TNPO1	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
XPO1	mareschalWholeExomeSequencing2016	1	NA	FALSE
