pmid	doi	title	abstract	year	month	day	jabbrv	lastname	firstname
22343534	10.1073/pnas.1121343109	Discovery and prioritization of somatic mutations in diffuse large B-cell lymphoma (DLBCL) by whole-exome sequencing.	To gain insight into the genomic basis of diffuse large B-cell lymphoma (DLBCL), we performed massively parallel whole-exome sequencing of 55 primary tumor samples from patients with DLBCL and matched normal tissue. We identified recurrent mutations in genes that are well known to be functionally relevant in DLBCL, including MYD88, CARD11, EZH2, and CREBBP. We also identified somatic mutations in genes for which a functional role in DLBCL has not been previously suspected. These genes include MEF2B, MLL2, BTG1, GNA13, ACTB, P2RY8, PCLO, and TNFRSF14. Further, we show that BCL2 mutations commonly occur in patients with BCL2/IgH rearrangements as a result of somatic hypermutation normally occurring at the IgH locus. The BCL2 point mutations are primarily synonymous, and likely caused by activation-induced cytidine deaminase-mediated somatic hypermutation, as shown by comprehensive analysis of enrichment of mutations in WRCY target motifs. Those nonsynonymous mutations that are observed tend to be found outside of the functionally important BH domains of the protein, suggesting that strong negative selection against BCL2 loss-of-function mutations is at play. Last, by using an algorithm designed to identify likely functionally relevant but infrequent mutations, we identify KRAS, BRAF, and NOTCH1 as likely drivers of DLBCL pathogenesis in some patients. Our data provide an unbiased view of the landscape of mutations in DLBCL, and this in turn may point toward new therapeutic strategies for the disease.	2012	05	04	Proc Natl Acad Sci U S A	Lohr	Jens G
19309015	10.1002/elps.200800508	2-D PAGE-based comparison of proteasome inhibitor bortezomib in sensitive and resistant mantle cell lymphoma.	Although gene expression following bortezomib treatment has been previously explored, direct effects of bortezomib-induced proteasome inhibition on protein level has not been analyzed so far. Using 2-D PAGE in five mantle cell lymphoma cell lines, we screened for cellular protein level alterations following treatment with 25 nM bortezomib for up to 4 h. Using MS, we identified 38 of the 41 most prominent reliably detected protein spots. Twenty-one were affected in all cell lines, whereas the remaining 20 protein spots were exclusively altered in sensitive cell lines. Western blot analysis was performed for 17 of the 38 identified proteins and 70.6% of the observed protein level alterations in 2-D gels was verified. All cell lines exhibited alterations of the cellular protein levels of heat shock-induced protein species (HSPA9, HSP7C, HSPA5, HSPD1), whereas sensitive cell lines also displayed altered cellular protein levels of energy metabolism (ATP5B, AK5, TPI1, ENO-1, ALDOC, GAPDH), RNA and transcriptional regulation (HNRPL, SFRS12) and cell division (NEBL, ACTB, SMC1A, C20orf23) as well as tumor suppressor genes (ENO-1, FH). These proteins clustered in a tight interaction network centered on the major cellular checkpoints TP53. The results were confirmed in primary mantle cell lymphoma, thus confirming the critical role of these candidate proteins of proteasome inhibition.	2009	08	18	Electrophoresis	Weinkauf	Marc
20031021	10.1016/j.rbmo.2009.09.024	Apoptosis in normal ovaries of women with and without endometriosis.	The aim of this study was to evaluate the factors predisposing to implants of endometriotic lesions in normal ovarian cortexes of women with and without endometriosis by assessing the expression of pro-apoptotic and anti-apoptotic factors and follicular density. Ovarian biopsies were performed during laparoscopy in 18 patients with endometrioma and in 10 healthy women. Detection of apoptosis was performed with terminal deoxynucleotidyl transferase-mediated dUTP nick-end labelling assay. p53 and BCL2 proteins were assessed by immunohistochemistry. Quantitative real-time polymerase chain reaction was performed to evaluate BAX , BAK , BCL2 , BCL-XL , survivin and beta-actin ( ACTB ) expression. The p53 protein was positive in a significantly higher number of secondary follicles, whereas the B-cell chronic lymphocytic leukaemia/lymphoma 2 (BCL2) protein was positive in all follicles in unaffected tissue of endometriotic women, compared with the controls. Overexpression of the BCL2 and survivin genes and a decreased BAX and BAK gene expression were observed in the endometriotic group although only the difference in survivin expression was significant (P = 0.016). The BCL2 / BAX ratio showed an increased value in the ovarian cortex in controls compared with endometriosis patients. In conclusion, the reduction of apoptosis in unaffected tissue in women with endometriosis suggests that they may be predisposed to develop endometriosis.	2010	02	25	Reprod Biomed Online	Depalo	Raffaella
17823310	10.1182/blood-2007-04-087775	HGAL, a lymphoma prognostic biomarker, interacts with the cytoskeleton and mediates the effects of IL-6 on cell migration.	HGAL is a newly identified germinal center (GC)-specific gene whose expression by the tumor cells correlates with a favorable prognosis in patients with diffuse large B-cell and classical Hodgkin lymphomas. The function of HGAL is unknown. Previous studies demonstrated that HGAL is dispensable for GC formation, immunoglobulin gene class-switch recombination, and somatic hypermutation. Herein, we identify a role for HGAL in the regulation of cell motility. We demonstrate that IL-6 induces the phosphorylation of the C-terminal tyrosine residue of the HGAL protein via the Lyn kinase, and promotes its relocalization from the cytoplasm to podosome-like structures. Further, IL-6-induced HGAL phosphorylation increases its interaction with myosin II and is associated with inhibition of cell migration. Knockdown of endogenous HGAL ameliorates IL-6-induced inhibition of cell migration, whereas overexpression of HGAL imparts inhibitory effects of IL-6 on cell migration. Taken together, our results suggest that HGAL is involved in negative regulation of lymphocyte migration, thus constraining lymphocytes to the GC. Inhibition of lymphocyte migration might contribute to the less aggressive clinical behavior of HGAL-expressing lymphomas.	2008	02	26	Blood	Lu	Xiaoqing
16105984	10.1182/blood-2005-03-1204	p130Cas mediates the transforming properties of the anaplastic lymphoma kinase.	Translocations of the anaplastic lymphoma kinase (ALK) gene have been described in anaplastic large-cell lymphomas (ALCLs) and in stromal tumors. The most frequent translocation, t(2;5), generates the fusion protein nucleophosmin (NPM)-ALK with intrinsic tyrosine kinase activity. Along with transformation, NPM-ALK induces morphologic changes in fibroblasts and lymphoid cells, suggesting a direct role of ALK in cell shaping. In this study, we used a mass-spectrometry-based proteomic approach to search for proteins involved in cytoskeleton remodeling and identified p130Cas (p130 Crk-associated substrate) as a novel interactor of NPM-ALK. In 293 cells and in fibroblasts as well as in human ALK-positive lymphoma cell lines, NPM-ALK was able to bind p130Cas and to induce its phosphorylation. Both of the effects were dependent on ALK kinase activity and on the adaptor protein growth factor receptor-bound protein 2 (Grb2), since no binding or phosphorylation was found with the kinase-dead mutant NPM-ALK(K210R) or in the presence of a Grb2 dominant-negative protein. Phosphorylation of p130Cas by NPM-ALK was partially independent from Src (tyrosine kinase pp60c-src) kinase activity, as it was still detectable in Syf-/- cells. Finally, p130Cas-/- (also known as Bcar1-/-) fibroblasts expressing NPM-ALK showed impaired actin filament depolymerization and were no longer transformed compared with wild-type cells, indicating an essential role of p130Cas activation in ALK-mediated transformation.	2006	01	18	Blood	Ambrogio	Chiara
1505215	10.1159/000133336	Sublocalization of an invasion-inducing locus and other genes on human chromosome 7.	By somatic cell fusion studies between noninvasive mouse T-lymphoma cells and invasive human activated normal T-cells we have previously shown that the genetic information responsible for the induction of invasive and metastatic potential in interspecies T-cell hybrids is located on human chromosome 7. Apparently, genes derived from normal activated T-cells are dominantly expressed in the hybrids and control the invasive and, as a consequence, metastatic potential of these T-lymphoma cells. To sublocalize the invasion-inducing locus on chromosome 7 we have generated hybrids that harbor only specific regions of human chromosome 7 with or without a small fragment of human chromosome 21. Analysis of these hybrids revealed that the invasion-inducing locus maps to 7p12----cen. The human DNA complement of the hybrids was confirmed by Southern blot analysis using a large panel of chromosome 7-specific DNA probes. Several of these genes could be further sublocalized. These included: ARAF2 to 7p12----cen, D7S21 to 7pter----p12, ACTB to 7p15----p12, EGFR to 7p12, MDH2 to 7cen----q22, and PDGFA to 7pter----p15.	1992	09	22	Cytogenet Cell Genet	Habets	G G
34265801	10.1097/PAS.0000000000001780	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	Follicular lymphoma and classic Hodgkin lymphoma can be associated in composite and/or sequential lymphomas. Common IGH and BCL2 rearrangements have already been identified between both contingents of these entities, but mutation profiles have not yet been investigated. The main objective of this study was to analyze the transdifferentiation process that may occur between Hodgkin and follicular contingents in sequential and composite lymphomas to better characterize these entities. From 2004 to 2020, a retrospective multicentric study was performed, including 9 composite and 13 sequential lymphomas. Clinical data were retrospectively collected. Fluorescent in situ hybridization of BCL2 and BCL6 rearrangements, polymerase chain reaction of IGH and IGK rearrangements, next-generation sequencing of IGK rearrangement, and targeted next-generation sequencing (TNGS) on a panel of genes frequently mutated in lymphomas were performed on each contingent of composite and sequential lymphomas. For TNGS, each contingent was isolated by laser capture microdissection. Clinical presentation and evolution were more aggressive in sequential than composite lymphomas. By fluorescent in situ hybridization, common rearrangements of BCL6 and BCL2 were identified between both contingents. Similarly, a common clonal relationship was established by evaluating IGH and IGK rearrangement by polymerase chain reaction or next-generation sequencing. By TNGS, the same pathogenic variants were identified in both contingents in the following genes: CREBBP, KMT2D, BCL2, EP300, SF3B1, SOCS1, ARID1A, and BCOR. Specific pathogenic variants for each contingent were also identified: XPO1 for Hodgkin lymphoma contingent and FOXO1, TNFRSF14 for follicular lymphoma contingent. This study reinforces the hypothesis of a transdifferentiation process between Hodgkin and follicular contingent of sequential/composite lymphomas.	2022	02	14	Am J Surg Pathol	Trecourt	Alexis
34560683	10.1097/PAS.0000000000001813	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	Primary effusion lymphoma (PEL) is associated with human herpesvirus 8 and frequently with Epstein-Barr virus (EBV). We report here a single-center series of 19 human immunodeficiency virus-associated PELs, including 14 EBV+ and 5 EBV- PELs. The objectives were to describe the clinicopathologic features of PELs, with a focus on programmed cell death protein 1 (PD-1)/programmed death-ligand 1 (PD-L1) expression, to search for genetic alterations by targeted deep sequencing analysis, and to compare the features between EBV+ and EBV- cases. All the patients were male, and the median age at diagnosis was 47 years old (interquartile range: 40 to 56 y). Reflecting the terminal B-cell differentiation, immunophenotypic profiles showed low expression levels of B-cell markers, including CD19 (0/19), CD20 (1/19), CD79a (0/19), PAX5 (1/19), BOB1 (3/19), and OCT2 (4/19), contrasting with a common expression of CD38 (10/19), CD138 (7/19), and IRF4/MUM1 (18/19). We observed a frequent aberrant expression of T-cell markers, especially CD3 (10/19), and less frequently CD2 (2/19), CD4 (3/19), CD5 (1/19), and CD8 (0/19). Only 2 cases were PD-L1 positive on tumor cells and none PD-1 positive. With respect to immune cells, 3 samples tested positive for PD-L1 and 5 for PD-1. Our 36-gene lymphopanel revealed 7 distinct variants in 5/10 PELs, with either a single or 2 mutations per sample: B2M (n=2), CD58 (n=1), EP300 (n=1), TNFAIP3 (n=1), ARID1A (n=1), and TP53 (n=1). Finally, we did not observe any major clinical, pathologic, or immunohistochemical differences between EBV+ and EBV- PELs and the outcome was similar (2-y overall survival probability of 61.9% [95% confidence interval, 31.2-82.1] vs. 60.0% [95% confidence interval, 12.6-88.2], respectively, P=0.62).	2022	03	07	Am J Surg Pathol	Calvani	Julien
34649275	10.1182/bloodadvances.2021005316	Worse outcome and distinct mutational pattern in follicular lymphoma with anti-HBc positivity.	Epidemiological studies have demonstrated the association between hepatitis B virus (HBV) infection and B-cell non-Hodgkin lymphoma (NHL), mainly for diffuse large B-cell lymphoma (DLBCL) and follicular lymphoma (FL). We studied a cohort of 121 patients with FL for HBV infection status, clinical features, and gene mutational profile. Anti-HBc was detectable in 16 patients (13.2%), although all had undetectable HBV DNA. Anti-HBcore+ (anti-HBc+) cases presented with older age at diagnosis than anti-HBc- cases (68.1 vs 57.2 years; P = .007) and higher β2-microglobulin (56.3% vs 28.9%; P = .04). All patients included in the study fulfilled criteria for treatment and received therapy with rituximab or rituximab-containing chemotherapy. There were no episodes of HBV reactivation or HBV hepatitis during treatment and/or maintenance. Remarkably, anti-HBc+ patients had significantly lower 10-year progression-free survival (PFS; 12.9% vs 58.3%; P &lt; .0001) and overall survival (OS; 22.0% vs 86.2%; P &lt; .0001), that remained at multivariate analysis. Gene mutational profiling of all cases showed that anti-HBc+ cases had higher incidence of ARID1A mutations and absence of EP300 mutations, 2 key epigenetic regulators in FL. Overall, our study shows that FL patients with resolved HBV infection have a worse outcome independently of other well-known clinical risk factors and a distinct gene mutational profile.	2022	03	10	Blood Adv	Fernández-Rodríguez	Concepción
34791836	10.1002/cam4.4422	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	The single-arm DAWN trial (NCT01779791) of ibrutinib monotherapy in patients with relapsed/refractory follicular lymphoma (FL) showed an overall response rate (ORR) of 20.9% and a median response duration of 19.4 months. This biomarker analysis of the DAWN dataset sought to determine genetic classifiers for prediction of response to ibrutinib treatment. Whole exome sequencing was performed on baseline tumor samples. Potential germline variants were excluded; a custom set of 1216 cancer-related genes was examined. Responder- versus nonresponder-associated variants were identified using Fisher's exact test. Classifiers with increasing numbers of genes were created using a greedy algorithm that repeatedly selected genes, adding the most nonresponders to the existing ""predicted nonresponders"" set and were evaluated with 10-fold cross-validation. Exome data were generated from 88 patient samples and 13,554 somatic mutation variants were inferred. Response data were available for 83 patients (17 responders, 66 nonresponders). Each sample showed 100 to &gt;500 mutated genes, with greater variance across nonresponders. The overall variant pattern was consistent with previous FL studies; 75 genes had mutations in &gt;10% of patients, including genes previously reported as associated with FL. Univariate analysis yielded responder-associated genes FANCA, HISTH1B, ANXA6, BTG1, and PARP10, highlighting the importance of functions outside of B-cell receptor signaling, including epigenetic processes, DNA damage repair, cell cycle/proliferation, and cell motility/invasiveness. While nonresponder-associated genes included well-known TP53 and CARD11, genetic classifiers developed using nonresponder-associated genes included ATP6AP1, EP400, ARID1A, SOCS1, and TBL1XR1, suggesting resistance to ibrutinib may be related to broad biological functions connected to epigenetic modification, telomere maintenance, and cancer-associated signaling pathways (mTOR, JAK/STAT, NF-κB). The results from univariate and genetic classifier analyses provide insights into genes associated with response or resistance to ibrutinib in FL and identify a classifier developed using nonresponder-associated genes, which warrants further investigation. NCT01779791.	2022	03	21	Cancer Med	Balasubramanian	Sriram
35038193	10.1111/his.14617	Incidence, clinicopathological features and genetics of in-situ follicular neoplasia: a comprehensive screening study in a Japanese cohort.	In-situ follicular neoplasia (ISFN) is a histologically recognizable neoplastic proliferation of follicular lymphoma (FL)-like B cells confined to the germinal centres. While some ISFNs are associated with overt FL, others are incidentally identified as isolated or pure forms in individuals without evidence of overt FL. The prevalence of incidentally found isolated ISFN is approximately 3% in Europe; however, no screening study has been conducted in Asia. To investigate the incidence and clinicopathological characteristics of ISFNs in the Japanese population, we conducted histopathological screening of the lymph nodes (LNs) resected for solid tumours or inflammatory conditions. We screened for ISFN in 5700 LNs from 340 individuals using immunohistochemistry for BCL2 and identified seven ISFNs, with an incidence of 2.1%. The median age of the individuals with ISFN was 67 years, none of whom developed overt FL, with a median follow-up of 59 months. Next-generation sequencing was performed in five ISFNs, and 10 variants in seven FL-associated genes were identified. The identified variants included HIST1H1E (n = 2), ARID1A (n = 2), KMT2D (n = 1), CARD11 (n = 1), BCL7A (n = 1), CREBBP (n = 1) and TNFRSF14 (n = 1). The incidence of isolated ISFN in the Japanese population is not significantly different from that in Europe, presumably reflecting the recent increase in FL in Japan. These incidentally found ISFNs have a low potential to transform into overt FL. Although mutations of FL-associated genes are already present in ISFNs, further molecular studies are needed to identify driver genes leading to the transformation of ISFN to overt FL.	2022	03	30	Histopathology	Oishi	Naoki
35054466	10.3390/life12010073	The Pathologic and Genetic Characteristics of Extranodal NK/T-Cell Lymphoma.	Extranodal NK/T-cell lymphoma is a neoplasm of NK cells or cytotoxic T cells presenting in extranodal sites, most often in the nasal cavity. The typical immunophenotypes are cCD3+, sCD3-, CD4-, CD5-, CD8-, CD16-, and CD56+ with the expression of cytotoxic molecules. Tumor subsets express NK cell receptors, CD95/CD95L, CD30, MYC, and PDL1. Virtually all the tumor cells harbor the EBV genome, which plays a key role in lymphomagenesis as an epigenetic driver. EBV-encoded oncoproteins modulate the host-cell epigenetic machinery, reprogramming the viral and host epigenomes using host epigenetic modifiers. NGS analysis revealed the mutational landscape of ENKTL, predominantly involving the JAK-STAT pathway, epigenetic modifications, the RNA helicase family, the RAS/MAP kinase pathway, and tumor suppressors, which indicate an important role of these pathways and this group of genes in the lymphomagenesis of ENKTL. Recently, three molecular subtypes were proposed, the tumor-suppressor/immune-modulator (TSIM), MGA-BRDT (MB), and HDAC9-EP300-ARID1A (HEA) subtypes, and they are well-correlated with the cell of origin, EBV pattern, genomic alterations, and clinical outcomes. A future investigation into the function and interaction of discovered genes would be very helpful for better understanding the molecular pathogenesis of ENKTL and establishing better treatment strategies.	2022	01	28	Life (Basel)	Kim	Hyunsung
35172382	10.1002/JLB.5A0721-361R	Genomic heterogeneity contributed to different prognosis between adult and pediatric acute lymphoblastic.	The prognosis of acute lymphoblastic leukemia (ALL) in adults is inferior to that in children. Hence, ALL remains challenging to cure in the adult population. Aberrant genetic alterations have been observed in ALL, although the patterns of differential gene alterations in adult and pediatric ALL have not been comprehensively determined on a genome-wide scale. We investigated the biologic differences in genomic profiles between adults (n = 64) and children (n = 54) with ALL and relationship between genomic heterogeneity and prognosis. The 2 populations showed similar common mutation types but an increased prevalence of genetic alterations in adult ALL. The median numbers of gene mutations were 17 (range: 1-53) and 4.5 (range: 1-19) per sample in adult and pediatric ALL, respectively (p &lt; 0.001). An increased number of gene mutations and age were significantly correlated (R<sup>2</sup>  = 0.5853, p &lt; 0.001). We identified 122 and 53 driver genes in adult and pediatric ALL samples, respectively. IKZF1, IDH1, and TTN mutations were significantly enriched in adult patients with ALL. KRAS, ARID1A, and CREBBP mutations were significantly enriched in pediatric patients with ALL (p &lt; 0.05). The incidence of relapse was 40.0% and 9.6% in adult and pediatric patients with ALL, respectively (p = 0.003). The overall survival and relapse-free survival of adult patients with ALL were poorer than those of pediatric patients with ALL (p = 0.002 and p &lt; 0.001, respectively). This genomic landscape enhances the understanding of the biologic differences in ALL between the 2 populations and provides insight for developing therapeutic approaches.	2022	08	26	J Leukoc Biol	Chen	Yanxin
35317330	10.14740/wjon1436	Non-GCB Diffuse Large B-Cell Lymphoma With an Atypical Disease Course: A Case Report and Clinical Exome Analysis.	Diffuse large B-cell lymphoma (DLBCL) is the most common lymphoid tumor among other non-Hodgkin lymphomas (30-40% of all cases). This type of lymphoma is characterized by significant differences in treatment response and the heterogeneity of clinical traits. Approximately 60% of patients are cured using standard chemotherapy (CT), while in 10-15% of cases, the tumor is characterized by an extremely aggressive course and resistance to even the most high-dose programs with autologous stem cell transplantation (auto-SCT). The activated B-cell (ABC) subtype of DLBCL is characterized by poor prognosis. Here, we describe a clinical case of diffuse ABC-DLBCL with an atypical disease course. Complete remission was achieved after four courses of CT, followed by autologous hematopoietic stem cell transplantation (auto-HSCT). However, early relapse occurred 2 months after the completion of treatment. According to the results of cytogenetic studies, significant chromosome breakdowns were observed. Exome sequencing allowed for the detection of several novel mutations that affect components of the NOTCH2 and NF-κB signaling pathways, a number of epigenetic regulators (<i>KMT2D</i>, <i>CREBBP</i>, <i>EP300</i>, <i>ARID1A</i>, <i>MEF2B</i>), as well as members of the immunoglobulin superfamily (<i>CD58</i> and <i>CD70</i>). Whether these mutations were the result of therapy or were originally present in the lymphoid tumor remains unclear. Nevertheless, the introduction of genomic technologies into clinical practice is important for making a diagnosis and developing a DLBCL treatment regimen with the use of targeted drugs.	2022	03	24	World J Oncol	Tsygankova	Svetlana
35454811	10.3390/cancers14081904	Deciphering Genetic Alterations of Hairy Cell Leukemia and Hairy Cell Leukemia-like Disorders in 98 Patients.	Hairy cell leukemia (cHCL) patients have, in most cases, a specific clinical and biological presentation with splenomegaly, anemia, leukopenia, neutropenia, monocytopenia and/or thrombocytopenia, identification of hairy cells that express CD103, CD123, CD25, CD11c and identification of the V600E mutation in the B-Raf proto-oncogene (<i>BRAF</i>) in 90% of cases. Monocytopenia is absent in vHCL and SDRPL patients and the abnormal cells do not express CD25 or CD123 and do not present the <i>BRAF<sup>V600E</sup></i> mutation. Ten percent of cHCL patients are BRAF<sup>WT</sup> and the distinction between cHCL and HCL-like disorders including the variant form of HCL (vHCL) and splenic diffuse red pulp lymphoma (SDRPL) can be challenging. We performed deep sequencing in a large cohort of 84 cHCL and 16 HCL-like disorders to improve insights into the pathogenesis of the diseases. <i>BRAF</i> mutations were detected in 76/82 patients of cHCL (93%) and additional mutations were identified in Krüppel-like Factor 2 (<i>KLF2</i>) in 19 patients (23%) or <i>CDKN1B</i> in 6 patients (7.5%). Some <i>KLF2</i> genetic alterations were localized on the cytidine deaminase (AID) consensus motif, suggesting AID-induced mutations. When analyzing sequential samples, a clonal evolution was identified in half of the cHCL patients (6/12 pts). Among the 16 patients with HCL-like disorders, we observed an enrichment of <i>MAP2K1</i> mutations in vHCL/SDRPL (3/5 pts) and genes involved in the epigenetic regulation (<i>KDM6A, EZH2, CREBBP, ARID1A</i>) (3/5 pts). Furthermore, <i>MAP2K1</i> mutations were associated with a bad prognosis and a shorter time to next treatment (TTNT) and progression-free survival (PFS), independently of the HCL classification.	2022	07	16	Cancers (Basel)	Maitre	Elsa
35727053	10.1002/cncr.34348	Differential prognostic effect of systemic inflammation in patients with non-small cell lung cancer treated with immunotherapy or chemotherapy: A post hoc analysis of the phase 3 OAK trial.	A proinflammatory diathesis, as measured by the neutrophil to lymphocyte ratio (NLR), heralds an adverse disease course for non-small cell lung cancer (NSCLC). This post hoc analysis used data from the phase 3 OAK trial (NCT02008227), which randomized previously treated patients with NSCLC to atezolizumab or docetaxel. The main objective was assessing the differential impact of the pretreatment NLR on overall survival according to the treatment modality. In addition, patients' genomic characteristics were assessed according to their inflammatory status with a circulating free DNA (cfDNA) next-generation sequencing (NGS) analysis. In all, 600 and 575 patients with NLR data were included in the atezolizumab and docetaxel cohorts, respectively, with a median NLR of 4 (interquartile range, 2.6-6.7) for the pooled population. An NLR ≥4 was associated with a positive smoking status (88.6% vs. 78.1%; p &lt; .01), male sex (66.4% vs. 57.6%; p = .01), a worse performance status (71.3% vs. 55.2%; p &lt; .01), a higher number of metastatic sites (63.2% vs. 51.6%; p = .01), squamous histology (32.1% vs. 21.4%; p &lt; .01), and tissue KRAS mutations (30% vs. 18.7%; p = .02) but not with programmed death ligand 1 (PD-L1) expression or the tissue epidermal growth factor receptor (EGFR)/anaplastic lymphoma kinase (ALK) status. A pretreatment NLR ≥4 was more strongly associated with mortality after atezolizumab (adjusted hazard ratio [HR], 1.64; 95% confidence interval [CI], 1.35-2.01) versus docetaxel (HR, 1.32; 95% CI, 1.08-1.60; multivariable [MVA] interaction p = .08). The HR for an increased risk of death for PD-L1-negative/NLR ≥4 patients (compared with PD-L1-positive/NLR &lt;4 patients) was significantly higher in the atezolizumab cohort (MVA interaction p = .01). The exclusion of EGFR/ALK-positive patients further increased the prognostic ability of the baseline NLR in favor of atezolizumab (MVA interaction p = .02). Pretreatment cfDNA data from NGS showed that patients with a high blood tumor mutation burden (cutoff, 16 mut/Mb) had a higher median NLR (4.6 vs. 3.7; p = .01). After adjustments for multiple comparisons, none of the selected variants of interest (EGFR, KRAS, TP53, KEAP1, STK11, SMARCA4, ARID1A, and targeted DNA damage response and repair genes) were significantly associated with the NLR. A low baseline NLR identified patients with NSCLC who derived a greater survival benefit from atezolizumab in comparison with those identified in the docetaxel cohort. The NLR could complement PD-L1 expression in tailoring treatment in this setting.	2022	08	08	Cancer	Cortellini	Alessio
35794096	10.1038/s41467-022-31355-8	Clinical relevance of molecular characteristics in Burkitt lymphoma differs according to age.	While survival has improved for Burkitt lymphoma patients, potential differences in outcome between pediatric and adult patients remain unclear. In both age groups, survival remains poor at relapse. Therefore, we conducted a comparative study in a large pediatric cohort, including 191 cases and 97 samples from adults. While TP53 and CCND3 mutation frequencies are not age related, samples from pediatric patients showed a higher frequency of mutations in ID3, DDX3X, ARID1A and SMARCA4, while several genes such as BCL2 and YY1AP1 are almost exclusively mutated in adult patients. An unbiased analysis reveals a transition of the mutational profile between 25 and 40 years of age. Survival analysis in the pediatric cohort confirms that TP53 mutations are significantly associated with higher incidence of relapse (25 ± 4% versus 6 ± 2%, p-value 0.0002). This identifies a promising molecular marker for relapse incidence in pediatric BL which will be used in future clinical trials.	2022	07	08	Nat Commun	Burkhardt	Birgit
35879731	10.1186/s40364-022-00401-4	Dynamic change of soluble interleukin-2 receptor distinguished molecular heterogeneity and microenvironment alterations in diffuse large B-cell lymphoma.	Diffuse large B-cell lymphoma (DLBCL) is an aggressive lymphoma with variable clinical outcomes and prediction of prognosis remains important for long-term remission. We performed serial serum soluble interleukin-2 receptor (sIL-2R) measurement pretreatment and before each cycle of the treatment in 599 patients with de novo DLBCL. Genomic and transcriptomic features were analyzed by 223 DNA- and 227 RNA-sequencing, respectively. Applying the cut-off value to sIL-2R pretreatment and cycle 2 (C2) level, patients were classified into FINE subtype (pretreatment low level) with good prognosis, RES subtype (pretreatment high level and C2 low level) with intermediate prognosis, and RET subtype (pretreatment high level and C2 high level) with poor prognosis, independent of International Prognostic Index. In ""others"" genetic subtype, dynamic change of sIL-2R showed prognostic significance and genetic features. Compared with FINE subtype, RES subtype had increased ARID1A and MYD88 mutations, and RET subtype had increased KMT2D, LYN and SOCS1 mutations. RES and RET subtypes showed significant enrichment in oncogenic pathways, such as ERK, NF-κB, JAK-STAT, and immune-associated pathways. As for tumor microenvironment, RES subtype exhibited increased recruiting activity of CD8 + T, T helper 1, and natural killer cells, and RET subtype with increased recruiting activity of CD4 + T and regulatory T cells in silico. There was a positive correlation between transcripts of IL-2R and immune checkpoint expressions including PD-1 and CTLA-4. Our findings identified that dynamic change of sIL-2R, with this simple and easy detection method in peripheral blood, had long-term prognostic effect and specific relation to microenvironment alterations in DLBCL.	2022	07	29	Biomark Res	Huo	Yu-Jia
36001451	10.1097/PAS.0000000000001956	Targeted Mutational Profiling Reveals Clonal Relationships in Metachronous Occurrence of Classic Hodgkin and Mediastinal Large B-Cell Lymphomas.	Classic Hodgkin lymphoma (CHL) patients may infrequently present with a prior or recurrent disease with discordant histology resembling non-Hodgkin lymphomas. These include primary mediastinal large B-cell lymphoma (PMBL), diffuse large B-cell lymphoma (DLBCL), or mediastinal gray-zone lymphoma (MGZL). Such patients are often refractory to standard therapy and their diagnosis is hampered by significant morphologic and immunophenotypic overlap and insufficient molecular data. Among 509 CHL patients seen at an academic medical center, 6 patients had a prior or subsequent diagnosis different from CHL. Paired tissue samples were evaluated by targeted mutational analysis using a 164-gene panel. Our findings show multiple shared variants indicative of a clonal relationship between the CHL and the PMBL, DLBCL, or MGZL diagnoses. Most frequent mutated genes included TNFAIP3 (4 of 6, 66.7%), STAT6 (3 or 6, 50%), ARID1A (3 of 6, 50%), and XPO1 (3 of 5, 60%). Three patients showed the same oncogenic variant within the XPO1 gene (E571K), and mutations in TNFAIP3 and B2M were observed in 2 of the 5 patients with shared variants. In addition, differences in the mutation profile between the lymphoma pairs were also observed, which could represent clonal evolution. Mutational profiling could be of benefit in patients with recurrent/refractory disease with discordant histology, where the clonal relationship could be helpful to inform and guide therapeutic decisions. These findings provide further evidence of a true biological continuum surrounding CHL, PMBL, DLBCL, and MGZL and shed light on underlying genetic events and their clinical impact.	2022	08	24	Am J Surg Pathol	Singh	Kunwar
